uid,latitude,longitude,date,split
aabm,39.0803190688889,-86.4308666666667,2018-05-14,train
aabn,36.5597,-121.51,2016-08-31,test
aacd,35.8750832404158,-78.8784342810571,2020-11-19,train
aaee,35.487,-79.0621329580003,2016-08-24,train
aaff,38.04947082,-99.82700111,2019-07-23,train
aafl,39.474744,-86.898353,2021-08-23,train
aafp,35.6477424743416,-79.2717820986074,2017-11-15,train
aagm,35.90688526381,-79.1329616264296,2020-06-10,train
aahy,35.726521939921,-79.1254577750524,2014-08-12,train
aaia,35.98,-78.7916861916675,2018-06-27,train
aaie,35.8613251384981,-78.7683213767603,2013-11-06,train
aaig,35.8962328282395,-79.0477049082042,2015-08-24,train
aair,33.0426,-117.076,2014-11-01,test
aajk,37.74668,-97.77936,2021-10-18,train
aajw,40.703968,-80.29305,2015-08-26,test
aalr,38.9725,-94.67293,2019-08-26,test
aalw,34.279,-118.905,2018-01-08,test
aamg,37.9718,-121.374,2015-08-18,train
aamp,40.43393,-105.0334,2017-07-28,test
aaoj,38.0201,-122.259,2015-07-07,train
aaoy,35.79,-79.0263922532941,2018-06-13,train
aapj,33.8892,-117.562,2018-01-09,test
aaqc,37.3906,-120.958,2013-07-09,train
aaqd,35.9075374537429,-79.1381814255046,2020-08-13,train
aaqf,39.820323,-79.921575,2013-08-17,test
aaql,38.691,-100.924,2018-08-13,train
aaqq,36.6519,-120.632,2017-03-09,train
aarj,36.115,-78.9087588280644,2013-07-29,train
aarq,39.90293,-75.18015,2017-12-05,train
aauw,35.703553467355,-79.1681192247916,2019-06-06,train
aauy,36.313,-79.1149777897167,2020-02-26,test
aava,40.82201,-77.46996,2018-04-11,test
aavi,34.41,-78.3,2020-05-18,test
aavk,41.292492,-80.45833,2016-07-20,test
aaxb,35.7229289575381,-79.1321313506199,2018-08-27,train
aaxc,34.446,-119.876,2020-03-18,test
aaxe,37.2486,-120.851,2019-01-17,train
aays,39.12106,-95.41118,2018-08-27,test
abau,35.6822351052168,-79.207715773159,2016-06-21,train
abbf,37.6003,-121.224,2015-01-13,train
abbz,35.7154236165606,-79.1460717084721,2016-06-08,train
abcg,37.4583,-120.967,2016-03-08,train
abcx,38.0505,-121.418,2013-01-15,train
abdc,36.9818,-120.221,2021-07-14,test
abdk,35.7589,-105.1445,2017-06-19,train
abdw,35.48,-76.82,2020-02-26,test
abei,35.976,-78.7561418455852,2016-04-13,train
aben,35.888158095737,-78.9830788244183,2019-07-02,train
abeu,39.7533,-121.971,2019-05-22,test
abhd,34.6721,-120.492,2014-02-28,test
abin,35.8580331321702,-78.7419738195245,2014-07-15,train
abit,48.97325,-100.3713,2017-08-01,test
abjj,42.056766,-78.879216,2019-09-24,train
abjq,34.9454,-120.417,2017-09-26,test
abjr,36.7962,-121.782,2016-01-19,test
abjx,38.1156,-121.494,2013-08-20,train
abka,41.72506,-85.01198,2017-08-02,train
abkx,36.3708,-119.429,2016-06-22,test
abmo,35.8952700716719,-79.0399994905221,2015-06-10,train
aboc,44.761667,-82.783333,2018-04-03,train
abqi,35.6954359886381,-79.1831965621849,2016-04-06,train
abqw,37.8717,-121.526,2016-05-17,train
abrn,41.890646,-78.925275,2017-10-05,train
absk,35.433,-80.1,2016-06-21,test
absl,42.086392,-78.874325,2013-07-16,train
abso,35.6500313371928,-79.2675307838014,2016-07-19,train
absx,36.9128,-121.744,2014-12-03,test
abua,44.736667,-86.721667,2016-08-05,train
abui,37.1366,-120.762,2020-05-12,train
abvn,41.693325,-80.07708,2015-09-25,test
abvy,44.87109,-103.0033,2017-06-12,train
abwl,44.0,-82.35,2017-03-31,train
abxl,38.1602,-121.206,2019-03-19,train
abzb,36.313,-79.1148294880374,2020-02-26,test
abzk,39.21155,-97.00559,2017-08-28,train
abzw,35.8640581248836,-78.7901948205032,2015-04-22,train
acbt,39.3092,-121.595,2019-08-22,train
accd,35.8668842812594,-78.8128139498283,2016-05-24,train
acck,35.6937858782105,-79.1862614635567,2016-12-13,train
acdj,37.3906,-120.958,2015-04-14,train
acex,37.0062,-120.6,2021-07-14,test
acgm,36.13,-79.0676695540267,2020-06-24,train
acgx,35.6983636039131,-79.1777588339447,2014-07-22,train
acix,37.3978,-120.96,2020-08-11,train
acje,39.6242,-122.197,2018-06-20,test
ackq,35.976,-78.7504249227888,2015-11-16,train
ackx,47.62155,-89.463167,2017-08-25,test
aclb,38.4831216812134,-75.1296916643778,2020-11-10,train
acld,35.6425259962153,-79.2814711416536,2020-07-15,train
aclj,44.868638,-93.524033,2013-09-23,train
acmt,37.2583,-120.475,2013-02-12,train
acoa,35.6843376652779,-79.2038104956047,2015-06-22,train
acoz,35.6315873609609,-79.3017884717148,2015-05-06,train
acpf,35.9136245597832,-79.1868995502048,2014-06-23,train
acpk,37.82493334,-99.91665915,2021-08-16,train
acqg,35.794,-79.019916413299,2016-09-20,train
acqj,35.8594927953534,-78.7536562269781,2013-04-23,train
acqu,35.4265,-118.832,2020-07-21,test
acta,41.005131,-81.021802,2016-08-02,test
actk,41.89424,-78.93875,2019-04-16,train
actm,38.720200030009,-75.0800833304723,2017-08-21,train
actx,36.8739,-121.745,2020-04-29,test
acuf,41.964856,-110.654119,2018-08-22,train
acwc,39.61525,-84.9661444444445,2020-08-25,test
acwk,35.9086244369644,-79.1468810906296,2021-04-28,train
acwm,34.942,-120.557,2013-05-28,test
acwx,37.1366,-120.762,2015-01-13,train
acwy,47.62155,-89.463167,2018-05-13,test
acxn,37.2343,-121.87,2015-02-06,train
acyg,35.79,-79.0323243204653,2020-03-11,train
acyi,44.878889,-93.490833,2013-06-18,train
acyk,35.61,-78.9969982886183,2021-05-18,train
acyl,35.724845214809,-79.1285721103172,2018-08-06,train
aczv,35.6448680884353,-79.2771209590615,2019-07-02,train
aczx,35.62476,-78.7111521487958,2016-06-22,train
adau,44.14,-87.233333,2016-08-05,train
addj,41.726667,-83.15,2018-04-07,test
adef,35.742,-79.2289065046657,2016-05-24,train
adfl,35.8621947250753,-78.7752811088603,2014-05-19,train
adgs,35.3207,-120.806,2014-02-27,test
adhj,35.6907784188826,-79.1918474934762,2019-02-19,train
adjx,41.0491,-121.762,2021-08-23,train
admd,46.993333,-85.1645,2016-08-22,test
admk,45.48802,-96.44255,2017-08-21,test
admo,35.6914970153592,-79.1905127783627,2018-08-09,train
adow,35.6672776526305,-79.2354976210772,2016-12-13,train
adqc,35.6700721944839,-79.2303070623025,2015-08-06,train
adra,41.299298,-80.758329,2018-07-05,test
adsv,35.8852387693708,-78.959714009511,2018-02-21,train
adtv,35.79,-79.0218443351296,2017-03-21,train
adtx,35.8930961052289,-79.022600160272,2021-10-12,train
aduy,35.8674433012019,-78.8172880633212,2016-07-19,train
advr,47.85615,-88.041917,2013-04-15,test
adwf,35.7061084770495,-79.1633735710546,2016-06-08,train
adwg,40.7201033333333,-85.1058325,2021-05-24,train
adwl,35.7252178203894,-79.1278800358139,2013-08-26,train
adxk,41.3305639294444,-85.3836083333333,2020-06-08,train
adxl,37.3169,-120.742,2017-04-11,train
adxo,41.841242,-78.994719,2020-09-02,train
adzg,35.6984168332817,-79.1776599661585,2014-07-22,train
aeaj,35.65,-78.6877873338886,2021-08-11,train
aeap,35.794,-79.010326238039,2014-08-05,train
aebg,35.637549050248,-79.290715279662,2015-07-23,train
aecj,36.7962,-121.782,2015-08-26,test
aeco,38.2996,-121.383,2019-03-19,train
aecy,35.6599319997589,-79.2491413755709,2020-09-24,train
aedy,37.6756,-121.264,2016-10-18,train
aeea,34.73,-77.44,2021-07-20,test
