uid,region,severity,density
aabm,midwest,1,585.0
aacd,south,1,290.0
aaee,south,1,1614.0
aaff,midwest,3,111825.0
aafl,midwest,4,2017313.0
aafp,south,1,1594.0
aagm,south,1,3873.0
aahy,south,1,6100.0
aaia,south,1,16943.0
aaie,south,2,22822.0
aaig,south,3,199930.0
aajk,midwest,1,13119.0
aamg,west,4,1720200.0
aaoj,west,4,4080000.0
aaoy,south,1,3485.0
aaqc,west,4,1416342.5
aaqd,south,3,338865.0
aaql,midwest,3,289800.0
aaqq,west,3,250515.5
aarj,south,2,72614.0
aarq,northeast,1,10133.0
aauw,south,1,3798.0
aaxb,south,2,45747.0
aaxe,west,4,6450000.0
abau,south,2,23236.0
abbf,west,4,3885000.0
abbz,south,1,581.0
abcg,west,3,240746.0
abcx,west,3,778068.5
abdk,west,2,83591.0
abei,south,1,9694.0
aben,south,1,9730.0
abin,south,1,2178.0
abjj,northeast,2,55049.333333333336
abjx,west,4,5363220.5
abka,midwest,2,53636.0
abmo,south,2,73195.0
aboc,midwest,1,358.24125333333336
abqi,south,1,2628.0
abqw,west,4,1673606.0
abrn,northeast,1,7626.284722222223
absl,northeast,3,379146.8027210884
abso,south,2,48409.0
abua,midwest,1,6062.838201058202
abui,west,4,5260000.0
abvy,midwest,4,1628970.0
abwl,midwest,1,155.19067733333333
abxl,west,4,2474705.0
abzk,midwest,2,93240.0
abzw,south,1,327.0
acbt,west,4,5845000.0
accd,south,1,3558.0
acck,south,1,13863.0
acdj,west,4,1572654.5
acgm,south,1,15394.0
acgx,south,1,2075.0
acix,west,4,6916571.0
ackq,south,1,16597.0
aclb,south,1,10000.0
acld,south,2,48797.0
aclj,midwest,1,4013.0
acmt,west,3,182129.0
acoa,south,1,10529.0
acoz,south,1,1753.0
acpf,south,1,9036.0
acpk,midwest,3,201641.0
acqg,south,3,758089.0
acqj,south,1,631.0
actk,northeast,1,1267.0
actm,south,2,53924.999237060496
acuf,west,5,23228436.77
acwk,south,3,120721.0
acwx,west,4,6592500.0
acxn,west,4,5972500.0
acyg,south,1,854.0
acyi,midwest,1,255.0
acyk,south,2,48167.0
acyl,south,1,7932.0
aczv,south,2,34564.0
aczx,south,3,141355.0
adau,midwest,1,13584.317875166003
adef,south,1,13555.0
adfl,south,1,654.0
adhj,south,1,1328.0
adjx,west,4,2702500.0
admo,south,1,1540.0
adow,south,1,484.0
adqc,south,1,1670.0
adsv,south,1,19461.0
adtv,south,3,250082.0
adtx,south,2,38727.0
aduy,south,2,90041.0
adwf,south,1,1867.0
adwg,midwest,1,3335.0
adwl,south,1,821.0
adxk,midwest,2,36556.0
adxl,west,4,3747996.5
adxo,northeast,1,5300.663071990673
adzg,south,1,13278.0
aeaj,south,2,53089.0
aeap,south,1,7261.0
aebg,south,2,73662.0
aeco,west,4,5862500.0
aecy,south,1,3420.0
aedy,west,4,2585039.995
aefb,south,3,160332.0
aeib,south,2,33112.0
aeid,midwest,3,389340.0
aejc,northeast,1,10451.89393939394
aekm,south,1,2905.0
aelv,south,2,41955.0
aemv,west,4,6065000.0
aepl,south,2,20206.0
aeqh,west,4,1864626.6625
aetj,south,1,4784.0
aeuj,south,2,58962.0
aeus,west,4,1722453.5
aexi,south,2,61359.0
aeyz,south,2,49377.0
afas,south,2,28446.0
afbi,midwest,4,3355270.0
afbl,south,1,1682.0
afcm,northeast,4,5688667.0
afeh,south,1,19087.0
afek,northeast,1,8393.428023383267
afel,west,4,2836176.5
affc,south,2,29157.0
afgc,west,3,634782.5
afgy,south,1,5228.0
afhn,south,1,399.0
afhu,south,3,250082.0
afhv,south,1,3268.0
afip,south,1,968.0
afiq,south,1,6535.0
afjc,south,1,7745.0
afje,northeast,1,6528.6
afjf,south,2,22385.0
afke,northeast,3,234667.0
aflh,northeast,1,216.766288065844
afnd,south,1,3227.0
afos,south,1,1598.0
afsc,south,1,3646.0
afsi,south,2,47842.0
afuh,midwest,1,18837.0
afum,south,1,1815.0
afvi,south,1,4383.0
afvu,south,1,4350.0
afwi,west,4,4265780.0
afyc,west,4,4335000.0
afzm,south,1,4212.0
agbl,south,2,32082.0
agdh,west,4,6037316.0
agem,south,2,73126.0
aggu,northeast,1,108.307139023081
aggy,midwest,3,121344.0
aghm,south,1,5474.0
agim,south,1,264.0
agix,south,3,487965.0
agjr,south,1,9604.0
aglm,west,4,5935000.0
agmv,west,1,3315.384042553192
agpk,south,1,484.0
agqj,midwest,1,636.3451587301583
agqw,south,1,6406.0
agrt,south,1,3256.0
agsx,south,1,8751.0
agto,south,1,1452.0
agtu,south,3,119232.0
agvj,midwest,3,142582.0
agwh,south,1,871.0
agwi,south,3,139637.8
agxc,south,1,8840.0
agxe,south,2,22301.0
ahcm,northeast,2,96555.0
aheu,south,1,10435.0
ahez,south,1,18958.0
ahfv,south,1,11250.0
ahgu,northeast,2,56862.0
ahhw,west,4,5757257.0
ahjj,south,1,3485.0
ahkg,south,2,67773.0
ahnr,south,1,8640.0
ahpj,south,2,58091.0
ahpn,west,4,5174343.5
ahrn,south,1,11171.0
ahse,midwest,1,419.3225751072959
ahsh,south,2,59872.0
ahsi,midwest,4,1400175.0
ahsm,south,2,21114.0
ahta,south,1,11672.0
ahtt,west,4,7344000.0
ahuv,midwest,1,1104.0
ahvc,south,1,1780.0
ahvi,south,1,581.0
ahwi,west,4,1940639.0
ahwv,south,2,34855.0
ahys,south,1,1037.0
ahyx,west,1,4815.526361942345
aiap,south,2,29225.0
aiby,midwest,3,688974.0
aicl,south,1,908.0
aidy,west,4,5042500.0
aiga,midwest,1,177.0337340314131
aigc,south,1,5809.0
aihx,south,1,14523.0
aiiw,south,2,53799.999237060496
aiix,south,1,1291.0
aijb,south,1,7745.0
aijp,midwest,1,272.47614342629447
aika,west,4,6277500.0
ainj,south,1,1343.0
aipy,west,4,5017500.0
aiqq,south,2,37759.0
aisa,west,4,6320631.5
aivu,midwest,3,287280.0
aiwq,northeast,1,1326.470588235294
aiwt,south,1,11366.0
aixa,west,4,4337423.0
aiyp,south,3,342011.0
aize,west,4,1338660.0
ajbb,south,1,2890.0
ajea,south,2,30498.0
ajfd,south,1,218.0
ajfx,south,1,10775.0
ajgg,west,2,36885.0
ajim,south,2,76087.0
ajjj,west,4,5509763.0
ajkf,northeast,1,667.0
ajlw,south,1,726.0
ajmc,midwest,1,5985.0
ajme,midwest,3,259560.0
ajnn,south,2,51452.0
ajoh,west,4,5047340.0
ajru,midwest,3,551346.0
ajrw,south,1,3631.0
ajsm,south,1,2490.0
ajsq,south,2,26359.0
ajuc,south,3,459650.0
ajuj,midwest,1,347.6341716566866
ajvk,west,4,1699658.0
ajvu,south,3,172182.0
ajwh,south,1,363.0
akba,west,4,2643213.25
akbi,south,1,171.0
akbz,northeast,2,24591.78685897436
akcy,northeast,1,9477.0
akgu,south,1,376.0
akjw,midwest,2,47858.0
aklk,south,1,4357.0
aknj,south,1,6708.0
akpm,south,1,508.0
akqd,midwest,1,261.5824421052628
akqj,south,2,24608.0
akqp,west,1,18993.94212765957
akrh,south,1,4195.0
aksu,west,4,3682866.5
akvu,south,1,13942.0
akwt,midwest,3,754742.0
akww,west,4,6016666.666666667
akxc,south,3,477073.0
akzy,west,4,4632500.0
albx,west,4,5480000.0
aldv,south,2,83924.0
alfh,midwest,1,343.87923809523807
alif,west,4,2714206.6625
aliv,midwest,3,693315.0
aljj,midwest,3,971580.0
aljv,midwest,3,159003.0
aljz,south,2,28448.0
almt,northeast,1,4850.377358490567
alpb,midwest,2,99855.0
alpl,south,1,5532.0
alqd,south,1,13500.0
alqp,west,4,1155822.5
alqs,midwest,3,722295.0
alsf,south,1,1367.0
altb,south,2,88952.0
alvv,south,3,448391.0
alwg,west,4,4383014.0
alwn,south,1,290.0
alwp,midwest,1,610.0
alxm,west,4,5702500.0
alxr,south,1,6172.0
alxv,south,1,17427.0
alyc,south,1,15560.0
alyf,west,4,7813333.333333333
amai,south,1,764.0
amak,west,4,7165000.0
amap,south,2,40664.0
amcm,south,1,8348.0
amcu,south,3,164107.0
amfl,south,2,31686.0
amgv,northeast,1,1237.5
amjd,south,1,13649.0
amkz,south,1,1598.0
amma,west,4,6722500.0
ammk,south,2,71824.0
amol,south,3,214066.0
amow,south,1,3631.0
amqv,midwest,1,280.2385636743216
amrx,west,4,2725455.5
amsp,midwest,1,780.0
amtf,south,2,24398.0
amuf,south,2,32346.0
amuw,midwest,1,1197.0
amwp,south,1,17427.0
amww,south,3,281016.0
amwx,south,1,3740.0
amyy,south,1,10005.0
anbo,south,2,69709.0
andt,northeast,1,1247.20987654321
anei,west,2,29598.0
anfv,south,4,1404354.0
angt,south,1,1452.0
anke,west,4,4950000.0
anlm,south,1,6703.0
anlp,south,1,401.0
anmy,midwest,1,163.816063829787
annu,south,2,32200.0
anra,midwest,1,5878.263798140772
anrk,south,1,145.0
anrt,south,3,494743.0
antr,south,1,290.0
anuc,west,4,5410000.0
anuh,south,2,40083.0
anvc,south,2,63988.0
anvp,west,4,4885000.0
anwq,south,1,14232.0
anxr,midwest,2,38613.0
anyq,south,1,2582.0
anzf,south,2,45021.0
aobs,west,4,1614989.0
aobu,west,4,6977500.0
aoce,south,3,191701.0
aoco,south,1,1053.0
aocw,midwest,3,161910.0
aofk,south,1,1634.0
aogc,south,1,1017.0
aogm,northeast,1,0.0
aohi,south,2,21087.0
aohj,northeast,4,1733333.0
aohs,south,2,49861.0
aoit,south,1,137.0
aojn,south,1,508.0
aojo,midwest,4,1322370.0
aojs,south,3,724203.0
aoko,south,1,581.0
aolc,south,3,605116.0
aoln,south,2,77939.0
aomf,west,4,7292500.0
aony,south,2,50048.0
aoom,south,4,1052550.0
aoon,south,2,42116.0
aopf,south,1,1355.0
aopl,south,1,12522.0
aoqv,midwest,4,2137905.0
aosm,south,1,2541.0
aoth,south,1,1138.0
aotx,south,2,59507.0
aowb,south,2,60350.0
aoxm,northeast,1,1474.2
aozh,south,1,2905.0
aozi,south,3,108437.0
aozp,south,1,7850.0
aozr,south,3,124449.996948242
apak,south,2,28319.0
apbq,south,2,47125.0
apcu,west,4,5745000.0
apdc,west,3,947406.5
apdg,west,1,650.0
